Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-01-23,Skinamarink,2022,https://boxd.it/3Ksq0b,2,,"Es algo bastante diferente a lo que estoy acostumbrada a ver sobretodo en el género de terror, es original y algo lenta hasta poco más de la mitad pero supongo que es la intención. Me gusta mucho la creatividad en los planos y estéticamente da esa sensación liminal que me gusta.
Lo bueno es que da mucho lugar a la imaginación así que prácticamente la película me la he montado yo en mi cabeza.",,2023-01-23
2023-01-23,The Ritual,2017,https://boxd.it/3KsIfN,2.5,,Me hace gracia el bicho del final porque tiene cara de libro “FACEBOOK” pero es el hijo bastardo de Loki así que buena representación,,2023-01-23
2023-01-23,Donnie Darko,2001,https://boxd.it/3KvrS5,4.5,,"Menuda fumada de película quiero pensar que tiene un sentido o que es subjetiva dependiendo de las creencias de cada uno, yo que soy agnóstica interpreto que ha conseguido cambiar el destino para evitar así todas las muertes que provoca el hecho de sobrevivir a su propio destino. (El conejo me da mucho miedo, tengo parálisis del sueño y probablemente empiece a verlo en sueños a partir de esta noche.

Al principio la madre está leyendo “IT” supongo que es una forma de decirte que te vas a quedar con cara de payaso en cuando empieces a ver los créditos.",,2023-01-23
2023-01-23,Nope,2022,https://boxd.it/3Kvxlr,4.5,,Sigo sin entender porqué hay una chancla en vertical en las escenas del mono asesino (me la he visto 2 veces),,2023-01-23
2023-01-23,The Menu,2022,https://boxd.it/3Kvz5P,5,,"He llorado cuando cocina a todos y los condimenta, es mi nueva película favorita. El protagonista es el mejor personaje, he’s so me fr 🚬🗿",,2023-01-23
2023-01-23,2001: A Space Odyssey,1968,https://boxd.it/3Kx2db,3.5,,Bob Sponge reference,,2023-01-23
2023-01-28,Puss in Boots: The Last Wish,2022,https://boxd.it/3LS2tf,4.5,,VIVA ANDALUCÍA,,2023-01-27
2023-01-29,Guillermo del Toro's Pinocchio,2022,https://boxd.it/3MuDvj,5,,"Siempre he admirado mucho el trabajo de Guillermo del Toro pero esta película sin duda es lo mejor que he visto de él y más sabiendo todo lo que hay detrás y los 10 años y pico que se ha estado llevando a cabo el stop motion, me ha dado muchísimo confort y me la volvería a ver 5 veces sin duda👨🏼‍🦳",,2023-01-29
2023-01-31,The Whale,2022,https://boxd.it/3MYdsX,5,,"Acabo de salir del cine y creo que necesito volver a terapia, esta película me ha dejado una sensación muy extraña, estoy triste de cojones pero es increíblemente buena. Mi pareja también ha llorado así que me parece más buena aún, me gusta ver películas y no ser la única desgraciada que llora. Os odio a todos, me voy a fumar un cigarro.",,2023-01-30
2023-02-07,Godzilla,2014,https://boxd.it/3P98wl,3,,Los dos bichos que se aparean somos mi novio y yo literal. Muy chula la película 👍🏼,,2023-02-06
2023-02-17,The Fabelmans,2022,https://boxd.it/3RKhkb,5,,David Lynch yo te enciendo el puro,,2023-02-16
2023-02-20,Everything Everywhere All at Once,2022,https://boxd.it/3SxOpL,5,,La mejor película que he visto en toda mi vida estoy deshidratada de llorar,,2023-02-19
2023-03-19,Cadaver,2020,https://boxd.it/40c2W3,2,,Among us,,2023-03-19
2023-03-24,Penguins of Madagascar,2014,https://boxd.it/41shVl,2.5,,Esperaba que en algún momento Soldado los hiciera sentir mal y arrepentirse de cada vez que lo han tratado como alguien inferior o inútil pero ha sido muy bonito el final la verdad alguien tiene el whatsapp de skipper???,,2023-03-23
2023-04-06,The Super Mario Bros. Movie,2023,https://boxd.it/44T2sf,5,,ES EL MEJOR DÍA DE MI VIDA,,2023-04-05
2023-04-09,Shark Tale,2004,https://boxd.it/45K0G1,2.5,,me sé todos los diálogos de esta película ya estoy pidiendo cita pal psicólogo,,2023-04-08
2023-04-09,Madagascar,2005,https://boxd.it/45K1jR,4.5,,ALEX ES PACO LEÓN,,2023-04-08
2023-04-29,The Babadook,2014,https://boxd.it/4beH11,4,,FAMILIA HOY INSOMNIO 🔥🔥🔥💯,,2023-04-29
2023-05-03,Her,2013,https://boxd.it/4cmBwH,5,,DIOS MIO DE MI VIDA NUNCA HE ESTASO TAN TRISTE EN MI VIDA,,2023-05-03
2023-05-09,Cloverfield,2008,https://boxd.it/4e5SZb,1,,pussy is pussy,,2023-05-09
2023-05-11,Beau Is Afraid,2023,https://boxd.it/4euFxj,4.5,,"Muy buena representación de lo caótico que es el subconsciente de alguien que tiene miedo🤣🤣🤣‼️💯 Visto desde esa perspectiva hay muchas partes que tienen más sentido del que parece, muy chula me duele la cabeza 👍🏼👍🏼👍🏼",,2023-05-10
2023-05-16,It Follows,2014,https://boxd.it/4fGjRT,2.5,,Thegregf petardo,,2023-05-15
2023-05-20,V/H/S,2012,https://boxd.it/4gzMI7,3,,SI SE HUBIESEN CURRADO MÁS LAS HERIDAS ME HABRÍA ULTRA CAGADO ENCIMA PERO MUY BUENA,,2023-05-19
2023-05-20,V/H/S/2,2013,https://boxd.it/4gC1UB,3.5,,"no irónicamente las dos últimas grabaciones es lo mejor que he visto en el cine de gore y terror así rollo paranormal💀💀💀  no quiero hacer spoilers pero me he cagado encima con la última parte‼️ las partes gore mejoran un montón en esta parte de la saga de vhs aunque no sé si es muy sano saber si un tiro en la cabeza es realista o no,,,",,2023-05-20
2023-06-05,Guardians of the Galaxy,2014,https://boxd.it/4kIjmv,3.5,,eu sou groot☝🏻,,2023-06-05
2023-06-09,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4lL5kb,5,,ME VUELVO LOCA,,2023-06-08
2023-06-29,Tusk,2014,https://boxd.it/4rslBt,3,,en serio he llorado con el final???? pOR DIOS⚰️,,2023-06-29
2023-07-20,Signs,2002,https://boxd.it/4xEBSX,4.5,,"ME ENCANTA ESTA JODIDA PELÍCULA ME DAN GANAS DE LLORAR DE LO BONITA QUE ES VISUALMENTE, LOS PLANOS Y LA TRAMA EN SÍ!!",,2023-07-19
2023-07-20,Bird Box Barcelona,2023,https://boxd.it/4xECxh,1.5,,Mierdón,,2023-07-19
2023-07-21,Barbie,2023,https://boxd.it/4xZwnd,5,,"Siempre digo lo mismo cada vez que me emociono con una película pero creo honestamente que ha sido la vez en la que más cómoda, acompañada, feliz y conmovida me he sentido en una sala de cine. Sabía que en algún momento llegaría a emocionarme pero no me esperaba que fuese a ser tanto.

Aunque es muy fácil para mí posicionar nuevas películas como “mi nueva favorita” o de mis favoritas, de lo que sí estoy segura es que no voy a olvidarme de este día ni de lo diferente que ha sido la experiencia. En la cola vi a un padre entero vestido de rosa con su hija, me alegré mucho cuando al entrar a la sala de cine estaba sentado en la misma fila que yo. 
Hay algo que no sabía y es que las escenas del final son recuerdos reales de personas que han trabajado en la película, si lo hubiese sabido me habría desintegrado en el asiento. 

El mensaje está claro aunque no para todo el mundo, al final es una película no sólo para las mujeres sino también para los hombres (para todos). Lo cual lo hace muy bonito porque es justamente el mensaje que necesitamos hacer entender y la forma en la que lo ha transmitido Greta es perfecta para mí. Si hay algo que me apasiona del cine es la cantidad de posibilidades y formas que existen para  expresar y transmitir lo que uno quiere, el poder sentirme identificada con una idea o como en este caso, con toda la película de principio a fin ha sido como un abrazo al alma. 


Te quiero mucho Greta, si llego a ser directora de cine espero poder darte un abrazo, me has inspirado muchísimo🥲",,2023-07-20
2023-07-21,Oppenheimer,2023,https://boxd.it/4y3MBX,4,,Tony Stark subnormal,,2023-07-20
2023-07-24,Little Women,2019,https://boxd.it/4zsLBV,3.5,,"that

“but do you love him?”

“i care more to be loved” 

quote ruined my life‼️🙏🏼",,2023-07-23
2023-07-28,La La Land,2016,https://boxd.it/4Bazfl,4,,He dicho que no era para tanto y a los 20 minutos me ha dado un mental breakdwon,,2023-07-28
2023-08-01,Tengoku Daimakyo,2023,https://boxd.it/4CCSWD,4.5,,"Vaya pedazo de Anime, me estoy pensando lo de seguírmelo en manga porque me he quedado con las ganas de saber qué más pasa y creo que de aquí a que se anime la segunda temporada seguramente llega antes el final de Shingeki animado. 

Me sorprende mucho lo bien que está conectado todo y cómo si te fijas bien hay pequeños detalles súper sutiles que te dan pie a encajar piezas de a poco, los dos últimos capítulos han sido los más intensos porque no he dejado de darme cuenta de una cosa tras otra y de atar cabos.

He llorado como una loca en el capítulo 8, creo que es de las muertes más trágicas que he visto en el anime, ese trasfondo es insuperable😭😭😭",,2023-07-31
2023-08-01,Requiem for a Dream,2000,https://boxd.it/4CHGdB,4,,Gracias creo que algo dentro de mí se ha activado voy a convertirme en hombre lobo,,2023-08-01
2023-08-02,Napo,2020,https://boxd.it/4D0xSt,3,,:((((,,2023-08-01
2023-08-02,The Meg,2018,https://boxd.it/4DdgQr,1.5,,Me ha encantado la parte donde el jambo se suicida quedándose el último como si no hubiese tiempo para salir del submarino y de repente hay un escena donde se le ve esperando al tiburón???? EN PLAN PODRÍAS SUBIR ESA ESCALERA EN 10 SEGUNDOS ODIO ESTA PELÍCULA,,2023-08-02
2023-08-23,I Want to Eat Your Pancreas,2018,https://boxd.it/4JUz2b,5,,PORQUÉ HAN HECHO UNA PELÍCULA BASADA EN JAVI Y YO SOY TRISTE (ninguno va a morir pero yo a lo mejor sí después de ver esta puta película estoy muriendo de tristeza),,2023-08-23
2023-08-27,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/4L02dB,4,,DONATELLO TIENE CUENTA DE TWITTER Y SU ARROBA ES @BTSALSEO,,2023-08-26
2023-09-04,Talk to Me,2022,https://boxd.it/4NwZO9,3.5,,"El perro andaluz FULL HD actual, me ha gustado mucho y también he llorado. Aunque no me ha causado MIEDO como tal, me ha dado mucha impresión en ciertas escenas. Los cambios drásticos de situación y ambiente me han gustado bastante porque eso lo hace una película impredecible aunque a su vez se me ha hecho predecible pero lo justo, consigue enlazar el principio con el final y eso es muy satisfactorio. 
Me han gustado detalles pequeños que no suelo ver en otras películas como formas específicas de mostrarse inquieto o con ansiedad, a la hora de representar las pesadillas y “el otro lado” me ha impresionado mucho. 
En resumen, me ha encantando, es algo bastante innovador dentro del género de terror y no esperaba menos de A24 🤓☝🏻",,2023-09-03
2023-09-08,Blade Runner,1982,https://boxd.it/4ODztn,4,,me voy a s,,2023-09-08
2023-09-17,Blade Runner 2049,2017,https://boxd.it/4RaWrt,5,,"Creo que es el final más bonito que he visto en mi vida, el hecho de que él aún estando devastado en las escaleras está creando recuerdos sintiendo la nieve caer en sus manos mientras la dueña de los recuerdos que le implantaron a él toca la nieve ARTIFICIAL por su condición y no poder salir al exterior ME HA ENCANTADO porque aunque ella haya ganado el poder conocer a su padre y ser “hija de” a diferencia de las otras réplicas, ya no puede crear recuerdos pero ÉL SÍ. Ese paralelismo me lo meto por el culo.",,2023-09-17
2023-10-05,"Who Are You, Polly Maggoo?",1966,https://boxd.it/4WKDWf,2.5,,He visto esto en el salón de actos de San Telmo no he entendido nada (mola),,2023-10-05
2023-10-09,mother!,2017,https://boxd.it/4XVkDJ,3.5,,💀,,2023-10-08
2023-10-12,Saw X,2023,https://boxd.it/4Z4FUt,3,,Que alguien me de la ip de la rubia que le voy a dejar un C4 debajo del coche,,2023-10-12
2023-10-14,Lost in Translation,2003,https://boxd.it/4ZHJct,3,,ruina,,2023-10-14
2023-10-21,Drive,2011,https://boxd.it/51KZ0n,2.5,,Otra víctima de Walter White,,2023-10-20
2023-10-23,Possum,2018,https://boxd.it/52GA8H,2,,average Australian experience,,2023-10-23
2023-10-29,The Boy and the Heron,2023,https://boxd.it/54hmIp,3.5,,Alicia en el país de las maravillas y los arquetipos enjoyer te quiero miyazaki,,2023-10-28
2023-11-03,Five Nights at Freddy's,2023,https://boxd.it/56hVeR,3.5,,He ido vestida como puppet y he sido la única me he sentido como el joker,,2023-11-02
2023-11-04,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/56Fwjv,5,,"mi amigo el que quiere meterse setas para matar su ego: “dicen que el viaje es tranquilo y no es peligroso”☝🏻🤓

mi experiencia más tranquila si me metiera setas:",,2023-11-04
2023-11-12,Inside Out,2015,https://boxd.it/59lE6L,5,,"Mis islas están como tivoli (abandonadas, roñosas, olvidadas, sin vida, destrozadas,etc)",,2023-11-12
2023-12-04,X,2022,https://boxd.it/5gHbWb,4,,"👍🏼 (he tenido pesadillas esta noche, no con la película en sí pero por la sensación que deja)",,2023-12-04
2023-12-07,Wonka,2023,https://boxd.it/5htzAT,5,,YO TAMBIÉN QUIERO ESTAR ENDEUDADA POR UN UMPA LUMPA ESTOY TRISTE BLANDITA Y LLORANDO QUÉ PELÍCULA MÁS BONITA,,2023-12-06
2023-12-09,Leave the World Behind,2023,https://boxd.it/5i7TMZ,5,,QUÉ HA SIDO ESE FINAL 👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹👹,,2023-12-09
2024-01-02,28 Days Later,2002,https://boxd.it/5sXYDH,3.5,,Si no fuera por la mirada de las mil yardas se come un machetazo,,2024-01-02
2024-01-03,Aftersun,2022,https://boxd.it/5tGbAz,5,Yes,"Esta es mi película más personal, como si toda mi nostalgia y mis preocupaciones las hubiesen plasmado en una película.

 Se siente diferente, como un viaje a la infancia pero con una visión más amplia en la que ves tanto al padre como su hija y cómo ambos conviven y se comportan en la misma línea de tiempo, aunque es algo que he pensado mucho, verlo representado como en esta película me ha chocado muchísimo y me he hinchado a llorar con el final.

 Me parece un buen punto que tocar el hecho de que los padres transmiten sus emociones y comportamientos a sus hijos y aquí se ven indicios de depresión o tendencia a esta en Sophie, es una realidad de la que poco se habla además de lo impotentes que nos llegamos a sentir como hijos de nuestros padres al no poder ayudarlos o por sentirnos tan lejanos a ellos ya sea por el paso del tiempo o porque hay cosas que no tienen vuelta a atrás. 

Algo que siempre hay que recordar es que nuestros padres son personas y han vivido los mismos años y más que nosotros, ojalá haber podido mostrarle apoyo a mis padres cuando lo necesitaron pero es simplemente un hecho con lo que debemos lidiar todos 😭😭😭😭😭",,2024-01-03
2024-01-03,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/5tGmc9,4,,TE QUIERO ROCKET,,2024-01-03
2024-02-02,Piranha 3D,2010,https://boxd.it/5K7LYF,2.5,,Mi lore con esta película es que obligué a mis amigas a verla en el cine porque ellas querían ver una comedia y no he pasado más vergüenza en mi vida porque la película es TETAS CULOS Y SANGRE pero a mí me moló mucho me acuerdo de todo soy megamind (se la he enseñado a Javi),,2024-02-02
2024-03-14,Blue Giant,2023,https://boxd.it/62PCur,5,,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,,2024-03-13
2024-03-24,Marriage Story,2019,https://boxd.it/67sikF,3.5,Yes,se la he enseñado a Javi lets fuckin go,,2024-03-24
2024-05-05,Rango,2011,https://boxd.it/6puEoP,,,buena mierda🔥🔥🔥,,2024-05-05
2024-05-14,10 Cloverfield Lane,2016,https://boxd.it/6tbEDD,3.5,,quiero un bunker,,2024-05-14
2024-06-08,Creep,2014,https://boxd.it/6De0Dp,3,Yes,Mi novio y yo en corto😂😂😂😂😂💯💯💯💯💯💯 (tenemos autismo y tdah),,2024-06-08
2024-06-18,Made in Abyss: Dawn of the Deep Soul,2020,https://boxd.it/6HfCCx,4,,:[,,2024-06-17
2024-06-24,I Saw the TV Glow,2024,https://boxd.it/6JHaGZ,,,dios mío de mi vida,,2024-06-24
2024-07-09,Late Night with the Devil,2023,https://boxd.it/6PUxdB,4.5,,Literalmente no sé si tener miedo y pensar que la película está maldita o es que stremio ha decidido ir exageradamente mal con esta película en concreto al punto de salirse la película justo en el corte donde se ha puesto todo en negro y ha aparecido una cara,,2024-07-09
2024-07-16,The Cabin in the Woods,2011,https://boxd.it/6T3tVJ,4,,shaggy siempre fue el más basado,,2024-07-16
2024-09-13,Noroi: The Curse,2005,https://boxd.it/7jLNIn,3,,el gusano de mi cerebro concuerda,,2024-09-12
2024-09-17,Zootopia,2016,https://boxd.it/7lwTj7,,,Y NO SE BESAN QUÉ???,,2024-09-16
2024-09-26,Trap,2024,https://boxd.it/7plr0v,3.5,,ME HAN SALIDO OJOS EN EL CULO VAYA,,2024-09-25
2024-10-11,Beetlejuice,1988,https://boxd.it/7wvvsV,3.5,,torrente del más allá,,2024-10-11
