Date,Name,Year,Letterboxd URI
2023-09-21,Barbie,2023,https://boxd.it/bCLK
2023-09-21,Oppenheimer,2023,https://boxd.it/wUow
2023-09-21,La La Land,2016,https://boxd.it/a5fa
2023-09-21,Fight Club,1999,https://boxd.it/2a9q
2023-09-21,Interstellar,2014,https://boxd.it/4VZ8
2023-09-21,Cinema Paradiso,1988,https://boxd.it/1UlA
2023-09-21,La Haine,1995,https://boxd.it/2as8
2023-09-21,Schindler's List,1993,https://boxd.it/2aq2
2023-09-21,Ocean's Eleven,2001,https://boxd.it/2aZm
2023-09-21,Baby Driver,2017,https://boxd.it/bhF2
2023-09-21,Whiplash,2014,https://boxd.it/7bQA
2023-09-21,Spirited Away,2001,https://boxd.it/2b4m
2023-09-21,Dead Poets Society,1989,https://boxd.it/2aSg
2023-09-21,The Shawshank Redemption,1994,https://boxd.it/2aHi
2023-09-21,Howl's Moving Castle,2004,https://boxd.it/23De
2023-09-21,Inception,2010,https://boxd.it/1skk
2023-09-21,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2023-09-21,Call Me by Your Name,2017,https://boxd.it/dYmm
2023-09-21,Back to the Future,1985,https://boxd.it/2b8e
2023-09-21,Inglourious Basterds,2009,https://boxd.it/1JzG
2023-09-21,Donnie Darko,2001,https://boxd.it/2b2A
2023-09-21,Blade Runner 2049,2017,https://boxd.it/b8wK
2023-09-21,Taxi Driver,1976,https://boxd.it/2b8y
2023-09-21,The Truman Show,1998,https://boxd.it/18U8
2023-09-21,Forrest Gump,1994,https://boxd.it/728
2023-09-21,Se7en,1995,https://boxd.it/29zs
2023-09-21,Her,2013,https://boxd.it/4O24
2023-09-21,American Psycho,2000,https://boxd.it/28Vs
2023-09-21,Mamma Mia!,2008,https://boxd.it/1Tnq
2023-09-21,The Social Network,2010,https://boxd.it/17ue
2023-09-21,The Silence of the Lambs,1991,https://boxd.it/2aHW
2023-09-21,The Matrix,1999,https://boxd.it/2a1m
2023-09-21,Princess Mononoke,1997,https://boxd.it/2b4w
2023-09-21,A Clockwork Orange,1971,https://boxd.it/2aVE
2023-09-21,Shutter Island,2010,https://boxd.it/1U82
2023-09-21,City of God,2002,https://boxd.it/2a2a
2023-09-21,Prisoners,2013,https://boxd.it/4E5i
2023-09-21,Fallen Angels,1995,https://boxd.it/1UkW
2023-09-21,The Lighthouse,2019,https://boxd.it/icFU
2023-09-21,Get Out,2017,https://boxd.it/eOCm
2023-09-21,Joker,2019,https://boxd.it/h4cS
2023-09-21,Avengers: Endgame,2019,https://boxd.it/9vE4
2023-09-21,Tangled,2010,https://boxd.it/15gO
2023-09-21,Memento,2000,https://boxd.it/2bcK
2023-09-21,1917,2019,https://boxd.it/jj4y
2023-09-21,Nightcrawler,2014,https://boxd.it/780m
2023-09-21,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ
2023-09-21,Gladiator,2000,https://boxd.it/2b9m
2023-09-21,Edward Scissorhands,1990,https://boxd.it/2aZc
2023-09-21,The Notebook,2004,https://boxd.it/1UNE
2023-09-21,Corpse Bride,2005,https://boxd.it/24WQ
2023-09-21,Catch Me If You Can,2002,https://boxd.it/29VS
2023-09-21,The Pianist,2002,https://boxd.it/2aqc
2024-03-03,Poor Things,2023,https://boxd.it/tNWU
2024-03-03,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2024-03-03,American History X,1998,https://boxd.it/2bdo
2024-03-03,Life Is Beautiful,1997,https://boxd.it/29Wm
2024-03-03,The Imitation Game,2014,https://boxd.it/6aig
2024-03-03,Drive,2011,https://boxd.it/IG
2024-03-03,Big Fish,2003,https://boxd.it/2a3M
2024-03-03,"Monsters, Inc.",2001,https://boxd.it/2a46
2024-03-03,Society of the Snow,2023,https://boxd.it/y9aw
2024-03-03,A Beautiful Mind,2001,https://boxd.it/2amk
2024-03-03,V for Vendetta,2005,https://boxd.it/29Ik
2024-03-03,Green Book,2018,https://boxd.it/hErk
2024-03-11,Requiem for a Dream,2000,https://boxd.it/29VI
2024-04-14,Babylon,2022,https://boxd.it/mM02
2024-04-14,Saltburn,2023,https://boxd.it/z4eg
2024-04-14,The Queen's Gambit,2020,https://boxd.it/s1Ym
2024-04-14,Arrival,2016,https://boxd.it/aNGk
2024-04-14,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/4hk0
2024-04-14,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4hka
2024-04-14,The Maze Runner,2014,https://boxd.it/5YPM
2024-04-14,World War Z,2013,https://boxd.it/2p2E
2024-04-14,The Hunger Games,2012,https://boxd.it/2uds
2024-04-14,Fargo,1996,https://boxd.it/2aHM
2024-04-14,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq
2024-04-14,Napoleon,2023,https://boxd.it/shJM
2024-04-14,Now You See Me,2013,https://boxd.it/2Bsu
2024-04-14,Tenet,2020,https://boxd.it/leq4
2024-04-14,Divergent,2014,https://boxd.it/4VT0
2024-04-15,Dunkirk,2017,https://boxd.it/d0Y6
2024-04-15,The Matrix Reloaded,2003,https://boxd.it/2a1c
2024-06-20,Trainspotting,1996,https://boxd.it/29XY
2024-07-14,The Human Centipede (First Sequence),2009,https://boxd.it/18Tu
2024-07-14,Inside Out 2,2024,https://boxd.it/CFrC
2024-07-24,Despicable Me 4,2024,https://boxd.it/iOLG
2024-07-24,WALL·E,2008,https://boxd.it/1VEo
2024-07-25,The Irishman,2019,https://boxd.it/dYOq
2024-07-25,Ocean's Thirteen,2007,https://boxd.it/2aEy
2024-07-25,The Artifice Girl,2022,https://boxd.it/B8tI
2024-08-01,Nope,2022,https://boxd.it/sDCe
2024-08-02,Black Swan,2010,https://boxd.it/Sw0
