Date,Name,Year,Letterboxd URI
2023-09-21,Elemental,2023,https://boxd.it/ASiE
2023-09-21,The Dark Knight,2008,https://boxd.it/2b0k
2023-09-21,Schindler,1983,https://boxd.it/jmsI
2023-09-21,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2023-09-21,There Will Be Blood,2007,https://boxd.it/20Z2
2023-09-21,Oldboy,2003,https://boxd.it/29R2
2023-09-21,12 Angry Men,1957,https://boxd.it/2auI
2023-09-21,Moonlight,2016,https://boxd.it/d6bE
2023-09-21,No Country for Old Men,2007,https://boxd.it/21ew
2023-09-21,Apocalypse Now,1979,https://boxd.it/6ZS
2023-09-21,The Prestige,2006,https://boxd.it/293w
2023-09-21,Halloween,1978,https://boxd.it/2wRu
2023-09-21,The Departed,2006,https://boxd.it/28MA
2023-09-21,The Devil Wears Prada,2006,https://boxd.it/2awE
2023-09-21,Persona,1966,https://boxd.it/29B4
2023-09-21,Reservoir Dogs,1992,https://boxd.it/2agc
2023-09-21,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA
2023-09-21,Come and See,1985,https://boxd.it/1w9q
2023-09-21,Vertigo,1958,https://boxd.it/2apI
2023-09-21,Zodiac,2007,https://boxd.it/27MO
2023-09-21,Uncut Gems,2019,https://boxd.it/gXGc
2023-09-21,Life of Pi,2012,https://boxd.it/37pC
2024-03-03,Before Sunrise,1995,https://boxd.it/2bcU
2024-03-03,Amélie,2001,https://boxd.it/2aUc
2024-03-03,The Hunt,2012,https://boxd.it/3wEC
2024-07-24,Kiki's Delivery Service,1989,https://boxd.it/1JAY
2024-07-24,Whisper of the Heart,1995,https://boxd.it/17uy
2024-07-24,Aftersun,2022,https://boxd.it/Arw0
2024-07-24,Brokeback Mountain,2005,https://boxd.it/2b2q
2024-07-24,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk
2024-07-25,The Skin I Live In,2011,https://boxd.it/99A
2024-07-25,Takers,2010,https://boxd.it/1zTQ
2024-08-02,GoodFellas,1990,https://boxd.it/29FA
2024-08-02,Psycho,1960,https://boxd.it/2ab2
2024-08-02,Ikiru,1952,https://boxd.it/251c
2024-08-02,Citizen Kane,1941,https://boxd.it/71O
2024-08-02,Casablanca,1942,https://boxd.it/2aG0
2025-03-05,The Whale,2022,https://boxd.it/tw4c
2025-03-21,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2025-03-21,Anatomy of a Fall,2023,https://boxd.it/yuDE
2025-06-25,Grave of the Fireflies,1988,https://boxd.it/1RUM
